# date, home, score, away, score
2011-12-04 WAS 19 NYJ 34
2011-12-04 CHI  3 KC  10
2011-12-04 BUF 17 TEN 23
2011-12-04 MIA 34 OAK 14
2011-12-04 PIT 35 CIN  7
2011-12-04 TB  19 CAR 38
2011-12-04 HOU 17 ATL 10
2011-12-04 MIN 32 DEN 35
2011-12-04 NE  31 IND 24
2011-12-04 CLE 10 BAL 24
2011-12-04 NYG 35 GB  38
2011-12-04 ARI 19 DAL 13
2011-12-04 SF  26 STL  0
2011-12-04 NO  31 DET 17
2011-12-05 JAC 14 SD  38
2011-12-08 PIT 14 CLE  3
2011-12-11 WAS 27 NE  34
2011-12-11 NYJ 37 KC  10
2011-12-11 CIN 19 HOU 20
2011-12-11 BAL 24 IND 10
2011-12-11 DET 34 MIN 28
2011-12-11 CAR 23 ATL 31
2011-12-11 MIA 10 PHI 26
2011-12-11 JAC 41 TB  14
2011-12-11 TEN 17 NO  22
2011-12-11 ARI 21 SF  19
2011-12-11 DEN 13 CHI 10
2011-12-11 GB  46 OAK 16
2011-12-11 SD  37 BUF 10
2011-12-11 DAL 34 NYG 37
2011-12-12 SEA 30 STL 13
2011-12-15 ATL 41 JAC 14
2011-12-17 TB  15 DAL 31
2011-12-18 IND 27 TEN 13
2011-12-18 NYG 10 WAS 23
2011-12-18 CHI 14 SEA 38
2011-12-18 BUF 23 MIA 30
2011-12-18 STL 13 CIN 20
2011-12-18 MIN 20 NO  42
2011-12-18 HOU 13 CAR 28
2011-12-18 KC  19 GB  14
2011-12-18 OAK 27 DET 28
2011-12-18 PHI 45 NYJ 19
2011-12-18 ARI 20 CLE 17
2011-12-18 DEN 23 NE  41
2011-12-18 SD  34 BAL 14
2011-12-19 SF  20 PIT  3
2011-12-22 IND 19 HOU 16
2011-12-24 BUF 40 DEN 14
2011-12-24 NE  27 MIA 24
2011-12-24 BAL 20 CLE 14
2011-12-24 TEN 23 JAC 17
2011-12-24 KC  13 OAK 16
2011-12-24 NYJ 14 NYG 29
2011-12-24 WAS 26 MIN 33
2011-12-24 CAR 48 TB  16
2011-12-24 CIN 23 ARI 16
2011-12-24 PIT 27 STL  0
2011-12-24 DET 38 SD  10
2011-12-24 SEA 17 SF  19
2011-12-24 DAL  7 PHI 20
2011-12-25 GB  35 CHI 21
2011-12-26 NO  45 ATL 16
2012-01-01 MIA 19 NYJ 17
2012-01-01 HOU 22 TEN 23
2012-01-01 JAC 19 IND 13
2012-01-01 PHI 34 WAS 10
